,0
0,1533.3620184559454
1,134.50791183396333
2,66.56331571941286
3,31.488681181373103
4,505.123329491352
5,310.31759942312897
6,238.31638812004468
7,397.63913592049164
8,376.67598389253993
9,2797.1780499633323
10,2337.034899575181
11,1293.7455556347793
12,0.0
13,499.0236636253516
14,0.0
15,408.3526570861917
16,69.74518060173304
17,309.73230550653926
18,433.44787816236806
19,1047.4719487587836
20,187.87092950053653
21,784.4081064220771
22,44.742269269949304
23,0.0
24,0.0
25,895.97263315086
26,168.07044724396363
27,0.0
28,0.0
29,166.83685673641116
30,319.53259758472234
31,0.0
32,100.68590629693121
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,143.8759543631757
39,0.0
40,0.0
41,0.0
42,384.1217936040431
43,296.34832991381637
44,98.15440416793122
45,30.940307942651593
46,93.15345857467688
47,0.0
48,0.0
49,37.21676103867838
50,117.01103540079015
51,275.61149959922756
52,38.041318573334415
53,42.60651685419383
54,66.08231182463116
55,0.0
56,499.10833797767606
57,717.886104380456
58,1256.6492510747262
59,2375.2366067917746
60,637.7257092359521
61,256.26063925297217
62,29.143221800088746
63,0.0
64,0.0
65,0.0
66,540.6963759746772
67,381.86007932366624
68,0.0
69,2062.9971753015175
70,0.0
71,480.0873499550618
72,862.5657066143933
73,117.69243930378363
74,80.26390976103539
75,0.0
76,1107.6360942465687
77,473.29229534373377
78,222.53014969981865
79,102.59288281213064
80,1517.0687674372373
81,494.3143647064277
82,87.96549309516152
83,232.26516108474445
84,324.7986123870065
85,123.47949508696556
86,838.5213571912876
87,2370.122493961955
88,0.0
89,0.0
90,325.6710320168126
91,469.1242790397869
92,38.29397484214044
93,36.07491782493011
94,0.0
95,195.14716271832128
96,1335.7717922061847
97,787.6768944251162
98,22.312784843258054
99,91.97487016400535
100,0.0
101,0.0
102,0.0
103,0.0
104,50.71348282393885
105,71.67336273315587
106,191.60076415476738
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,117.61591350679087
113,167.4159883969062
114,108.2712786634662
115,0.0
116,0.0
117,0.0
118,0.0
119,69.23695770882273
120,0.0
121,0.0
122,21.39875201498318
123,0.0
124,32.82603076616619
125,0.0
126,0.0
127,0.0
128,102.49364551466483
129,0.0
130,486.6712200612851
131,0.0
132,0.0
133,0.0
134,149.20248017139446
135,0.0
136,786.4107101544452
137,215.2736075399212
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,31.010815944551243
144,0.0
145,369.2346064624599
146,0.0
147,0.0
148,0.0
149,122.75731105138813
150,0.0
151,0.0
152,0.0
153,28.58139504957059
154,0.0
155,44.25038467294686
156,0.0
157,0.0
158,0.0
159,43.97953016412736
160,0.0
161,68.79677862023614
162,410.39233146219925
163,0.0
164,54.969925667786356
165,84.71148567386115
166,22.979928514078942
167,0.0
168,0.0
169,0.0
170,49.02857048473341
171,0.0
172,168.4768654194305
173,30.641452858899804
174,59.985923830844335
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,41.82421100013733
190,0.0
191,0.0
192,86.9884262934509
193,0.0
194,30.44706519605224
195,213.60710105537115
196,56.07196314034996
197,21.19778824109418
198,0.0
199,35.00591212452528
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,33.925006307508504
207,335.64442293790927
208,0.0
209,0.0
210,0.0
211,0.0
212,64.49264255861704
213,0.0
214,0.0
215,0.0
216,33.00512958653529
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,197.5634020501921
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,24.77361811079105
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,191.43059596068895
235,20.69159405548142
236,0.0
237,0.0
238,44.53140669079366
239,0.0
240,73.84599306877236
241,0.0
242,0.0
243,116.62860401192364
244,0.0
245,0.0
246,0.0
247,100.9715134954871
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,109.13627203706041
257,0.0
258,95.66863105076719
259,0.0
260,23.799169371043856
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,44.58501861328286
271,0.0
272,741.105390541926
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,101.15604981030688
279,121.21250576514356
280,0.0
281,0.0
282,0.0
283,79.73228060728847
284,0.0
285,0.0
286,0.0
287,112.36480648614659
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,114.04424122358816
314,0.0
315,45.957565971236995
316,53.54003119352152
317,0.0
318,69.51469922164924
319,26.368727893949508
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,48.47409628193037
329,0.0
330,0.0
331,21.851411120164567
332,0.0
333,0.0
334,262.05939149986006
335,21.93837460387827
336,0.0
337,0.0
338,80.38792155417505
339,0.0
340,0.0
341,0.0
