,GENE
367,AC092171.2
368,AC092198.1
369,AC092667.2
370,AC092669.3
371,AC092675.3
372,AC092835.2
373,AC093323.3
374,AC093382.1
375,AC093388.3
376,AC093495.4
377,AC093609.1
378,AC093620.5
379,AC093627.10
380,AC093627.7
381,AC093627.9
382,AC093642.3
383,AC093673.5
384,AC093702.1
385,AC093818.1
386,AC093901.1
387,AC096772.6
388,AC097662.2
389,AC097724.3
390,AC098820.4
391,AC099850.1
392,AC100830.3
393,AC100830.4
394,AC104532.4
395,AC104653.1
396,AC104654.2
397,AC104655.3
398,AC105398.3
399,AC105760.2
400,AC107057.1
401,AC108142.1
402,AC108488.4
403,AC108938.5
404,AC109333.10
405,AC109642.1
406,AC109826.1
407,AC112721.1
408,AC112721.2
409,AC113189.5
410,AC113404.1
411,AC114271.2
412,AC114730.3
413,AC114803.3
414,AC114814.3
415,AC116366.5
416,AC116614.1
417,AC129778.2
418,AC133528.2
419,AC133644.2
420,AC133785.1
421,AC137932.4
422,AC137932.6
423,AC137934.1
424,AC138969.4
425,AC139100.3
426,AC140542.2
427,AC140725.4
428,AC140912.1
429,AC142472.6
430,AC142528.1
431,AC144449.1
432,AC144450.2
433,AC144652.1
434,AC144831.1
435,AC145123.2
436,AC145124.2
437,AC145212.2
438,AC145212.4
439,AC145343.2
440,AC147651.1
441,AC147651.4
442,AC159540.1
443,AC195454.1
444,AC240274.1
445,AC241585.2
446,AC245100.1
447,AC253572.1
448,ACAA1
449,ACAA2
450,ACACA
451,ACACB
452,ACAD10
453,ACAD11
454,ACAD8
455,ACAD9
456,ACADL
457,ACADM
458,ACADS
459,ACADSB
460,ACADVL
461,ACAN
462,ACAP1
463,ACAP2
464,ACAP3
465,ACAT1
466,ACAT2
467,ACBD3
468,ACBD4
469,ACBD5
470,ACBD6
471,ACBD7
472,ACCS
473,ACD
474,ACE
475,ACER3
476,ACHE
477,ACIN1
478,ACKR1
479,ACKR2
480,ACKR3
481,ACKR4
482,ACLY
483,ACO1
484,ACO2
485,ACOT11
486,ACOT12
487,ACOT13
488,ACOT2
489,ACOT4
490,ACOT7
491,ACOT8
492,ACOT9
493,ACOX1
494,ACOX2
495,ACOX3
496,ACP1
497,ACP2
498,ACP5
499,ACP6
500,ACP7
501,ACPP
502,ACR
503,ACRC
504,ACRV1
505,ACSBG1
506,ACSF2
507,ACSF3
508,ACSL1
509,ACSL3
510,ACSL4
511,ACSL5
512,ACSL6
513,ACSM3
514,ACSM5
515,ACSS1
516,ACSS2
517,ACSS3
518,ACTA2
519,ACTA2-AS1
520,ACTB
521,ACTBL2
522,ACTC1
523,ACTG1
524,ACTG2
525,ACTL10
526,ACTL6A
527,ACTL6B
528,ACTN1
529,ACTN1-AS1
530,ACTN2
531,ACTN4
532,ACTR10
533,ACTR1A
534,ACTR1B
535,ACTR2
536,ACTR3
537,ACTR3B
538,ACTR3C
539,ACTR5
540,ACTR6
541,ACTR8
542,ACTRT3
543,ACVR1
544,ACVR1B
545,ACVR1C
546,ACVR2A
547,ACVR2B
548,ACY1
549,ACY3
550,ACYP1
551,ACYP2
552,ADA
553,ADAL
554,ADAM10
555,ADAM11
556,ADAM12
557,ADAM15
558,ADAM17
559,ADAM19
560,ADAM21
561,ADAM22
562,ADAM23
563,ADAM28
564,ADAM32
565,ADAM33
566,ADAM8
567,ADAM9
568,ADAMTS1
569,ADAMTS10
570,ADAMTS12
571,ADAMTS13
572,ADAMTS14
573,ADAMTS15
574,ADAMTS16
575,ADAMTS17
576,ADAMTS18
577,ADAMTS19
578,ADAMTS2
579,ADAMTS3
580,ADAMTS4
581,ADAMTS5
582,ADAMTS6
583,ADAMTS7
584,ADAMTS8
585,ADAMTS9
586,ADAMTS9-AS2
587,ADAMTSL1
588,ADAMTSL4
589,ADAMTSL5
590,ADAP1
591,ADAP2
592,ADAR
593,ADARB1
594,ADARB2
595,ADAT1
596,ADAT2
597,ADAT3
598,ADCK1
599,ADCK2
600,ADCK3
601,ADCK4
602,ADCK5
603,ADCY1
604,ADCY2
605,ADCY3
606,ADCY4
607,ADCY5
608,ADCY6
609,ADCY7
610,ADCY8
611,ADCY9
612,ADCYAP1
613,ADCYAP1R1
614,ADD1
615,ADD2
616,ADD3
617,ADGB
618,ADGRA1
619,ADGRA1-AS1
620,ADGRA2
621,ADGRA3
622,ADGRB1
623,ADGRB2
624,ADGRB3
625,ADGRE1
626,ADGRE2
627,ADGRE5
628,ADGRF5
629,ADGRG1
630,ADGRG6
631,ADGRG7
632,ADGRL1
633,ADGRL2
634,ADGRL3
635,ADGRL4
636,ADGRV1
637,ADH1C
638,ADH5
639,ADHFE1
640,ADI1
641,ADIG
642,ADIPOR1
643,ADIPOR2
644,ADIRF
645,ADK
646,ADM
647,ADM2
648,ADM5
649,ADNP
650,ADNP2
651,ADNP-AS1
652,ADO
653,ADORA1
654,ADORA2A-AS1
655,ADORA2B
656,ADPGK
657,ADPRH
658,ADPRHL1
659,ADPRHL2
660,ADPRM
661,ADRA1A
662,ADRA1D
663,ADRA2A
664,ADRA2B
665,ADRB1
666,ADRB2
667,ADRBK1
668,ADRBK2
669,ADRM1
670,ADSL
671,ADSS
672,ADSSL1
673,ADTRP
674,AE000662.93
675,AEBP1
676,AEBP2
677,AEN
678,AES
679,AF001548.5
680,AF011889.2
681,AF121898.3
682,AF127936.7
683,AF127936.9
684,AF129408.17
685,AF131216.1
686,AF131216.5
687,AF196972.9
688,AF213884.2
689,AF240627.2
690,AFAP1
691,AFAP1L1
692,AFAP1L2
693,AFF1
694,AFF2
695,AFF3
696,AFF4
697,AFG3L2
698,AFMID
699,AFP
700,AFTPH
701,AGA
702,AGAP1
703,AGAP2
704,AGAP2-AS1
705,AGAP3
706,AGAP4
707,AGAP5
708,AGAP6
709,AGAP9
710,AGBL2
711,AGBL3
712,AGBL5
713,AGBL5-AS1
714,AGER
715,AGFG1
716,AGFG2
717,AGGF1
718,AGK
719,AGL
720,AGMAT
721,AGMO
722,AGO1
723,AGO2
724,AGO3
725,AGO4
726,AGPAT1
727,AGPAT2
728,AGPAT3
729,AGPAT4
730,AGPAT5
731,AGPS
732,AGR2
733,AGRN
734,AGT
735,AGTPBP1
736,AGTR1
737,AGTRAP
738,AHCTF1
739,AHCY
740,AHCYL1
741,AHCYL2
742,AHDC1
743,AHI1
744,AHNAK
745,AHNAK2
746,AHR
747,AHRR
748,AHSA1
749,AHSA2
750,AHSG
751,AIDA
752,AIF1L
753,AIFM1
754,AIFM2
755,AIFM3
756,AIG1
757,AIM1
758,AIM1L
759,AIM2
760,AIMP1
761,AIMP2
762,AIP
763,AJ003147.9
764,AJ011932.1
765,AJ239322.1
766,AJAP1
767,AJUBA
768,AK1
769,AK2
770,AK3
771,AK4
772,AK5
773,AK6
774,AK7
775,AK8
776,AK9
777,AKAP1
778,AKAP10
779,AKAP11
780,AKAP12
781,AKAP13
782,AKAP14
783,AKAP17A
784,AKAP2
785,AKAP3
786,AKAP5
787,AKAP6
788,AKAP7
789,AKAP8
790,AKAP8L
791,AKAP9
792,AKIP1
793,AKIRIN1
794,AKIRIN2
795,AKNA
796,AKNAD1
797,AKR1A1
798,AKR1B1
799,AKR1B10
800,AKR1B15
801,AKR1C1
802,AKR1C2
803,AKR1C3
804,AKR1E2
805,AKR7A2
806,AKR7A3
807,AKT1
808,AKT1S1
809,AKT2
810,AKT3
811,AKTIP
812,AL022341.3
813,AL022344.7
814,AL049794.1
815,AL121578.2
816,AL132709.8
817,AL133245.2
818,AL133493.2
819,AL354822.1
820,AL358852.1
821,AL365181.2
822,AL589743.1
823,AL592183.1
824,AL592528.1
825,ALAD
826,ALAS1
827,ALB
828,ALCAM
829,ALDH16A1
830,ALDH18A1
831,ALDH1A1
832,ALDH1A2
833,ALDH1A3
834,ALDH1B1
835,ALDH1L1
836,ALDH1L1-AS2
837,ALDH1L2
838,ALDH2
839,ALDH3A1
840,ALDH3A2
841,ALDH3B1
842,ALDH4A1
843,ALDH5A1
844,ALDH6A1
845,ALDH7A1
846,ALDH8A1
847,ALDH9A1
848,ALDOA
849,ALDOC
850,ALG1
851,ALG10
852,ALG10B
853,ALG11
854,ALG12
855,ALG13
856,ALG14
857,ALG1L
858,ALG1L2
859,ALG2
860,ALG3
861,ALG5
862,ALG6
863,ALG8
864,ALG9
865,ALK
866,ALKBH1
867,ALKBH2
868,ALKBH3
869,ALKBH4
870,ALKBH5
871,ALKBH6
872,ALKBH7
873,ALKBH8
874,ALMS1
875,ALOX12-AS1
876,ALOX15
877,ALOX5AP
878,ALPK1
879,ALPK2
880,ALPK3
881,ALPL
882,ALS2
883,ALS2CL
884,ALS2CR11
885,ALS2CR12
886,ALX1
887,ALX3
888,ALX4
889,ALYREF
890,AMACR
891,AMBN
892,AMBP
893,AMBRA1
894,AMD 1.00
895,AMDHD1
896,AMDHD2
897,AMER1
898,AMER2
899,AMFR
900,AMH
901,AMIGO1
902,AMIGO2
903,AMMECR1
904,AMMECR1L
905,AMN
906,AMN1
907,AMOT
908,AMOTL1
909,AMOTL2
910,AMPD2
911,AMPD3
912,AMPH
913,AMT
914,AMY2B
915,AMZ1
916,AMZ2
917,ANAPC1
918,ANAPC10
919,ANAPC11
920,ANAPC13
921,ANAPC15
922,ANAPC16
923,ANAPC2
924,ANAPC4
925,ANAPC5
926,ANAPC7
927,ANG
928,ANGEL1
929,ANGEL2
930,ANGPT1
931,ANGPT2
932,ANGPTL1
933,ANGPTL2
934,ANGPTL4
935,ANGPTL6
936,ANGPTL7
937,ANGPTL8
938,ANK1
939,ANK2
940,ANK3
941,ANKAR
942,ANKDD1A
943,ANKDD1B
944,ANKEF1
945,ANKFN1
946,ANKFY1
947,ANKH
948,ANKHD1
949,ANKHD1-EIF4EBP3
950,ANKIB1
951,ANKK1
952,ANKLE1
953,ANKLE2
954,ANKMY1
955,ANKMY2
956,ANKRA2
957,ANKRD1
958,ANKRD10
959,ANKRD11
960,ANKRD12
961,ANKRD13A
962,ANKRD13B
963,ANKRD13C
964,ANKRD13D
965,ANKRD16
966,ANKRD17
967,ANKRD18A
968,ANKRD18B
969,ANKRD2
970,ANKRD20A1
971,ANKRD20A3
972,ANKRD20A4
973,ANKRD23
974,ANKRD26
975,ANKRD27
976,ANKRD28
977,ANKRD29
978,ANKRD30B
979,ANKRD33
980,ANKRD33B
981,ANKRD34A
982,ANKRD34B
983,ANKRD35
984,ANKRD36
985,ANKRD36B
986,ANKRD36C
987,ANKRD37
988,ANKRD39
989,ANKRD40
990,ANKRD42
991,ANKRD44
992,ANKRD45
993,ANKRD46
994,ANKRD49
995,ANKRD50
996,ANKRD52
997,ANKRD53
998,ANKRD54
999,ANKRD55
1000,ANKRD6
1001,ANKRD65
1002,ANKRD7
1003,ANKRD9
1004,ANKS1A
1005,ANKS1B
1006,ANKS3
1007,ANKS6
1008,ANKUB1
1009,ANKZF1
1010,ANLN
1011,ANO1
1012,ANO10
1013,ANO1-AS2
1014,ANO3
1015,ANO4
1016,ANO5
1017,ANO6
1018,ANO7
1019,ANO8
1020,ANOS1
1021,ANP32A
1022,ANP32B
1023,ANP32E
1024,ANPEP
1025,ANTXR1
1026,ANTXR2
1027,ANXA1
1028,ANXA10
1029,ANXA11
1030,ANXA13
1031,ANXA2
1032,ANXA2R
1033,ANXA3
1034,ANXA4
1035,ANXA5
1036,ANXA6
1037,ANXA7
1038,ANXA8L1
1039,ANXA9
1040,AOAH
1041,AOC2
1042,AOX1
1043,AP000223.42
1044,AP000230.1
1045,AP000251.3
1046,AP000253.1
1047,AP000254.8
1048,AP000265.1
1049,AP000282.2
1050,AP000318.2
1051,AP000345.1
1052,AP000350.5
1053,AP000442.1
1054,AP000442.4
1055,AP000473.5
1056,AP000473.8
1057,AP000476.1
1058,AP000487.5
1059,AP000569.9
1060,AP000688.29
1061,AP000692.10
1062,AP000695.4
1063,AP000696.2
1064,AP000704.5
1065,AP000708.1
1066,AP000769.1
1067,AP000769.7
1068,AP000866.1
1069,AP001046.5
1070,AP001062.7
1071,AP001258.4
1072,AP001347.6
1073,AP001372.2
1074,AP001412.1
1075,AP001432.14
1076,AP001437.1
1077,AP001439.2
1078,AP001462.6
1079,AP001468.58
1080,AP001469.9
1081,AP001505.10
1082,AP001596.6
1083,AP003025.2
1084,AP003068.23
1085,AP003419.16
1086,AP003774.4
1087,AP003774.6
1088,AP004372.1
1089,AP004550.1
1090,AP006222.2
1091,AP006285.2
1092,AP006621.5
1093,AP1AR
1094,AP1B1
1095,AP1G1
1096,AP1G2
1097,AP1M1
1098,AP1M2
1099,AP1S1
1100,AP1S2
1101,AP1S3
1102,AP2A1
1103,AP2A2
1104,AP2B1
1105,AP2M1
1106,AP2S1
1107,AP3B1
1108,AP3B2
1109,AP3D1
1110,AP3M1
1111,AP3M2
1112,AP3S1
1113,AP3S2
1114,AP4B1
1115,AP4E1
1116,AP4M1
1117,AP4S1
1118,AP5B1
1119,AP5M1
1120,AP5S1
1121,AP5Z1
1122,APAF1
1123,APBA1
1124,APBA2
1125,APBA3
1126,APBB1
1127,APBB1IP
1128,APBB2
1129,APBB3
1130,APC
1131,APC2
1132,APCDD1
1133,APCDD1L
1134,APEH
1135,APELA
1136,APEX1
1137,APEX2
1138,APH1A
1139,APH1B
1140,API5
1141,APIP
1142,APITD1
1143,APITD1-CORT
1144,APLF
1145,APLN
1146,APLNR
1147,APLP1
1148,APLP2
1149,APMAP
1150,APOA1
1151,APOA1BP
1152,APOBEC3B
1153,APOBEC3C
1154,APOBEC3D
1155,APOBEC3F
1156,APOBEC3G
1157,APOBEC3H
1158,APOC1
1159,APOC2
1160,APOD
1161,APOE
1162,APOL1
1163,APOL2
1164,APOL3
1165,APOL4
1166,APOL6
1167,APOLD1
1168,APOM
1169,APOO
1170,APOOL
1171,APOPT1
1172,APP
1173,APPBP2
1174,APPL1
1175,APPL2
1176,APRT
1177,APTR
1178,APTX
1179,AQP1
1180,AQP11
1181,AQP3
1182,AQP4
1183,AQP5
1184,AQP6
1185,AQP7
1186,AQR
1187,AR
1188,ARAF
1189,ARAP1
1190,ARAP2
1191,ARAP3
1192,ARC
1193,ARCN1
1194,AREG
1195,AREL1
1196,ARF1
1197,ARF3
1198,ARF4
1199,ARF4-AS1
1200,ARF5
1201,ARF6
1202,ARFGAP1
1203,ARFGAP2
1204,ARFGAP3
1205,ARFGEF1
1206,ARFGEF2
1207,ARFGEF3
1208,ARFIP1
1209,ARFIP2
1210,ARFRP1
1211,ARG2
1212,ARGLU1
1213,ARHGAP1
1214,ARHGAP10
1215,ARHGAP11A
1216,ARHGAP11B
1217,ARHGAP12
1218,ARHGAP15
1219,ARHGAP17
1220,ARHGAP18
1221,ARHGAP19
1222,ARHGAP19-SLIT1
1223,ARHGAP20
1224,ARHGAP21
1225,ARHGAP22
1226,ARHGAP23
1227,ARHGAP24
1228,ARHGAP25
1229,ARHGAP26
1230,ARHGAP27
1231,ARHGAP28
1232,ARHGAP29
1233,ARHGAP31
1234,ARHGAP32
1235,ARHGAP33
1236,ARHGAP35
1237,ARHGAP39
1238,ARHGAP4
1239,ARHGAP40
1240,ARHGAP42
1241,ARHGAP44
1242,ARHGAP5
1243,ARHGAP5-AS1
1244,ARHGAP6
1245,ARHGAP8
1246,ARHGAP9
1247,ARHGDIA
1248,ARHGDIB
1249,ARHGDIG
1250,ARHGEF1
1251,ARHGEF10
1252,ARHGEF10L
1253,ARHGEF11
1254,ARHGEF12
1255,ARHGEF16
1256,ARHGEF17
1257,ARHGEF19
1258,ARHGEF2
1259,ARHGEF25
1260,ARHGEF26
1261,ARHGEF28
1262,ARHGEF3
1263,ARHGEF33
1264,ARHGEF35
1265,ARHGEF37
1266,ARHGEF39
1267,ARHGEF4
1268,ARHGEF40
1269,ARHGEF5
1270,ARHGEF6
1271,ARHGEF7
1272,ARHGEF7-AS2
1273,ARHGEF9
1274,ARID1A
1275,ARID1B
1276,ARID2
1277,ARID3A
1278,ARID3B
1279,ARID4A
1280,ARID4B
1281,ARID5A
1282,ARID5B
1283,ARIH1
1284,ARIH2
1285,ARIH2OS
1286,ARL 1.00
1287,ARL 10.00
1288,ARL13B
1289,ARL 14.00
1290,ARL14EP
1291,ARL14EPL
1292,ARL 15.00
1293,ARL 16.00
1294,ARL17A
1295,ARL17B
1296,ARL 2.00
1297,ARL2BP
1298,ARL 3.00
1299,ARL4A
1300,ARL4C
1301,ARL4D
1302,ARL5A
1303,ARL5B
1304,ARL 6.00
1305,ARL6IP1
1306,ARL6IP4
1307,ARL6IP5
1308,ARL6IP6
1309,ARL8A
1310,ARL8B
1311,ARL 9.00
1312,ARMC1
1313,ARMC10
1314,ARMC12
1315,ARMC2
1316,ARMC4
1317,ARMC5
1318,ARMC6
1319,ARMC7
1320,ARMC8
1321,ARMC9
1322,ARMCX1
1323,ARMCX2
1324,ARMCX3
1325,ARMCX3-AS1
1326,ARMCX4
1327,ARMCX5
1328,ARMCX6
1329,ARMT1
1330,ARNT
1331,ARNT2
1332,ARNTL
1333,ARNTL2
1334,ARPC1A
1335,ARPC1B
