,GENE
4373,DHRS7B
4374,DHRSX
4375,DHTKD1
4376,DHX15
4377,DHX16
4378,DHX29
4379,DHX30
4380,DHX32
4381,DHX33
4382,DHX34
4383,DHX35
4384,DHX36
4385,DHX37
4386,DHX38
4387,DHX40
4388,DHX57
4389,DHX58
4390,DHX8
4391,DHX9
4392,DIABLO
4393,DIAPH1
4394,DIAPH2
4395,DIAPH3
4396,DICER1
4397,DICER1-AS1
4398,DIDO1
4399,DIEXF
4400,DIMT1
4401,DIO2
4402,DIP2A
4403,DIP2B
4404,DIP2C
4405,DIRAS1
4406,DIRAS2
4407,DIRAS3
4408,DIRC2
4409,DIRC3
4410,DIS3
4411,DIS3L
4412,DIS3L2
4413,DISC1
4414,DISP1
4415,DISP2
4416,DIXDC1
4417,DKC1
4418,DKFZP434A062
4419,DKFZP434I0714
4420,DKFZP434L187
4421,DKFZp779M0652
4422,DKK 1.00
4423,DKK 2.00
4424,DKK 3.00
4425,DKKL1
4426,DLAT
4427,DLC1
4428,DLD
4429,DLEU1
4430,DLEU2
4431,DLG1
4432,DLG1-AS1
4433,DLG2
4434,DLG3
4435,DLG4
4436,DLG5
4437,DLGAP1
4438,DLGAP1-AS1
4439,DLGAP1-AS2
4440,DLGAP1-AS3
4441,DLGAP1-AS4
4442,DLGAP3
4443,DLGAP4
4444,DLGAP5
4445,DLK1
4446,DLK2
4447,DLL1
4448,DLL3
4449,DLST
4450,DLX1
4451,DLX2
4452,DLX2-AS1
4453,DLX3
4454,DLX4
4455,DLX5
4456,DLX6
4457,DLX6-AS1
4458,DMAP1
4459,DMBT1
4460,DMC1
4461,DMD
4462,DMGDH
4463,DMKN
4464,DMPK
4465,DMRT1
4466,DMRT2
4467,DMRT3
4468,DMRTA1
4469,DMRTA2
4470,DMTF1
4471,DMTN
4472,DMWD
4473,DMXL1
4474,DMXL2
4475,DNA2
4476,DNAAF2
4477,DNAAF3
4478,DNAAF5
4479,DNAH1
4480,DNAH10
4481,DNAH10OS
4482,DNAH11
4483,DNAH12
4484,DNAH14
4485,DNAH2
4486,DNAH5
4487,DNAH6
4488,DNAH7
4489,DNAH8
4490,DNAH9
4491,DNAI1
4492,DNAJA1
4493,DNAJA2
4494,DNAJA3
4495,DNAJA4
4496,DNAJB1
4497,DNAJB11
4498,DNAJB12
4499,DNAJB13
4500,DNAJB14
4501,DNAJB2
4502,DNAJB4
4503,DNAJB5
4504,DNAJB6
4505,DNAJB9
4506,DNAJC1
4507,DNAJC10
4508,DNAJC11
4509,DNAJC12
4510,DNAJC13
4511,DNAJC14
4512,DNAJC15
4513,DNAJC16
4514,DNAJC17
4515,DNAJC18
4516,DNAJC19
4517,DNAJC2
4518,DNAJC21
4519,DNAJC22
4520,DNAJC24
4521,DNAJC25
4522,DNAJC25-GNG10
4523,DNAJC27
4524,DNAJC27-AS1
4525,DNAJC28
4526,DNAJC3
4527,DNAJC30
4528,DNAJC3-AS1
4529,DNAJC4
4530,DNAJC5
4531,DNAJC5B
4532,DNAJC6
4533,DNAJC7
4534,DNAJC8
4535,DNAJC9
4536,DNAJC9-AS1
4537,DNAL1
4538,DNAL4
4539,DNALI1
4540,DNASE1
4541,DNASE1L1
4542,DNASE1L2
4543,DNASE2
4544,DNASE2B
4545,DND1
4546,DNER
4547,DNHD1
4548,DNLZ
4549,DNM1
4550,DNM1L
4551,DNM2
4552,DNM3
4553,DNM3OS
4554,DNMBP
4555,DNMT1
4556,DNMT3A
4557,DNMT3B
4558,DNPEP
4559,DNPH1
4560,DNTTIP1
4561,DNTTIP2
4562,DOC2A
4563,DOC2B
4564,DOCK1
4565,DOCK10
4566,DOCK11
4567,DOCK2
4568,DOCK3
4569,DOCK4
4570,DOCK5
4571,DOCK6
4572,DOCK7
4573,DOCK9
4574,DOCK9-AS2
4575,DOHH
4576,DOK1
4577,DOK2
4578,DOK3
4579,DOK4
4580,DOK5
4581,DOK6
4582,DOK7
4583,DOLK
4584,DOLPP1
4585,DONSON
4586,DOPEY1
4587,DOPEY2
4588,DOT1L
4589,DPAGT1
4590,DPCD
4591,DPF1
4592,DPF2
4593,DPF3
4594,DPH1
4595,DPH2
4596,DPH3
4597,DPH5
4598,DPH6
4599,DPH6-AS1
4600,DPH7
4601,DPM1
4602,DPM2
4603,DPM3
4604,DPP10
4605,DPP10-AS1
4606,DPP3
4607,DPP4
4608,DPP6
4609,DPP7
4610,DPP8
4611,DPP9
4612,DPPA4
4613,DPT
4614,DPY19L1
4615,DPY19L2
4616,DPY19L3
4617,DPY19L4
4618,DPY30
4619,DPYD
4620,DPYS
4621,DPYSL2
4622,DPYSL3
4623,DPYSL4
4624,DPYSL5
4625,DQX1
4626,DR1
4627,DRAIC
4628,DRAM1
4629,DRAM2
4630,DRAP1
4631,DRAXIN
4632,DRC3
4633,DRD2
4634,DRD4
4635,DRG1
4636,DRG2
4637,DROSHA
4638,DRP2
4639,DSC2
4640,DSCAM
4641,DSCAML1
4642,DSCC1
4643,DSCR3
4644,DSCR8
4645,DSCR9
4646,DSE
4647,DSEL
4648,DSG2
4649,DSG3
4650,DSN1
4651,DSP
4652,DST
4653,DSTN
4654,DSTYK
4655,DTD1
4656,DTD2
4657,DTHD1
4658,DTL
4659,DTNA
4660,DTNB
4661,DTNBP1
4662,DTWD1
4663,DTWD2
4664,DTX1
4665,DTX2
4666,DTX3
4667,DTX3L
4668,DTX4
4669,DTYMK
4670,DUBR
4671,DUOX1
4672,DUOXA1
4673,DUS1L
4674,DUS2
4675,DUS3L
4676,DUS4L
4677,DUSP1
4678,DUSP10
4679,DUSP11
4680,DUSP12
4681,DUSP13
4682,DUSP14
4683,DUSP15
4684,DUSP16
4685,DUSP18
4686,DUSP19
4687,DUSP2
4688,DUSP22
4689,DUSP23
4690,DUSP26
4691,DUSP28
4692,DUSP3
4693,DUSP4
4694,DUSP5
4695,DUSP6
4696,DUSP7
4697,DUSP8
4698,DUSP9
4699,DUT
4700,DVL1
4701,DVL2
4702,DVL3
4703,DXO
4704,DYDC2
4705,DYM
4706,DYNC1H1
4707,DYNC1I1
4708,DYNC1I2
4709,DYNC1LI1
4710,DYNC1LI2
4711,DYNC2H1
4712,DYNC2LI1
4713,DYNLL1
4714,DYNLL2
4715,DYNLRB1
4716,DYNLRB2
4717,DYNLT1
4718,DYNLT3
4719,DYRK1A
4720,DYRK1B
4721,DYRK2
4722,DYRK3
4723,DYRK4
4724,DYSF
4725,DYX1C1
4726,DZANK1
4727,DZIP1
4728,DZIP1L
4729,DZIP3
4730,E2F1
4731,E2F2
4732,E2F3
4733,E2F4
4734,E2F5
4735,E2F6
4736,E2F7
4737,E2F8
4738,E4F1
4739,EAF1
4740,EAF1-AS1
4741,EAF2
4742,EAPP
4743,EARS2
4744,EBAG9
4745,EBF1
4746,EBF2
4747,EBF3
4748,EBF4
4749,EBI3
4750,EBLN2
4751,EBLN3
4752,EBNA1BP2
4753,EBP
4754,EBPL
4755,ECD
4756,ECE1
4757,ECE2
4758,ECEL1
4759,ECH1
4760,ECHDC1
4761,ECHDC2
4762,ECHDC3
4763,ECHS1
4764,ECI1
4765,ECI2
4766,ECM1
4767,ECM2
4768,ECSCR.1
4769,ECSIT
4770,ECT2
4771,EDA2R
4772,EDARADD
4773,EDC3
4774,EDEM1
4775,EDEM2
4776,EDEM3
4777,EDF1
4778,EDIL3
4779,EDN1
4780,EDN2
4781,EDN3
4782,EDNRA
4783,EDNRB
4784,EDRF1
4785,EEA1
4786,EED
4787,EEF1A1
4788,EEF1A2
4789,EEF1B2
4790,EEF1D
4791,EEF1E1
4792,EEF1G
4793,EEF2
4794,EEF2K
4795,EEF2KMT
4796,EEFSEC
4797,EEPD1
4798,EFCAB1
4799,EFCAB11
4800,EFCAB12
4801,EFCAB13
4802,EFCAB14
4803,EFCAB2
4804,EFCAB3
4805,EFCAB5
4806,EFCAB6
4807,EFCAB7
4808,EFCAB9
4809,EFCC1
4810,EFEMP1
4811,EFEMP2
4812,EFHB
4813,EFHC1
4814,EFHC2
4815,EFHD1
4816,EFHD2
4817,EFNA1
4818,EFNA3
4819,EFNA4
4820,EFNA5
4821,EFNB1
4822,EFNB2
4823,EFNB3
4824,EFR3A
4825,EFR3B
4826,EFS
4827,EFTUD1
4828,EFTUD2
4829,EGF
4830,EGFL7
4831,EGFL8
4832,EGFLAM
4833,EGFR
4834,EGFR-AS1
4835,EGLN1
4836,EGLN2
4837,EGLN3
4838,EGOT
4839,EGR1
4840,EGR2
4841,EGR3
4842,EHBP1
4843,EHBP1L1
4844,EHD1
4845,EHD2
4846,EHD3
4847,EHD4
4848,EHHADH
4849,EHMT1
4850,EHMT2
4851,EI24
4852,EID1
4853,EID2
4854,EID2B
4855,EID3
4856,EIF1
4857,EIF1AD
4858,EIF1AX
4859,EIF1AY
4860,EIF1B
4861,EIF2A
4862,EIF2AK1
4863,EIF2AK2
4864,EIF2AK3
4865,EIF2AK4
4866,EIF2B1
4867,EIF2B2
4868,EIF2B3
4869,EIF2B4
4870,EIF2B5
4871,EIF2D
4872,EIF2S1
4873,EIF2S2
4874,EIF2S3
4875,EIF3A
4876,EIF3B
4877,EIF3C
4878,EIF3D
4879,EIF3E
4880,EIF3F
4881,EIF3G
4882,EIF3H
4883,EIF3I
4884,EIF3J
4885,EIF3J-AS1
4886,EIF3K
4887,EIF3L
4888,EIF3M
4889,EIF4A1
4890,EIF4A2
4891,EIF4A3
4892,EIF4B
4893,EIF4E
4894,EIF4E2
4895,EIF4E3
4896,EIF4EBP1
4897,EIF4EBP2
4898,EIF4EBP3
4899,EIF4ENIF1
4900,EIF4G1
4901,EIF4G2
4902,EIF4G3
4903,EIF4H
4904,EIF5
4905,EIF5A
4906,EIF5A2
4907,EIF5AL1
4908,EIF5B
4909,EIF6
4910,ELAC1
4911,ELAC2
4912,ELAVL1
4913,ELAVL2
4914,ELAVL3
4915,ELAVL4
4916,ELDR
4917,ELF1
4918,ELF2
4919,ELF3
4920,ELF4
4921,ELFN1
4922,ELFN1-AS1
4923,ELFN2
4924,ELK1
4925,ELK3
4926,ELK4
4927,ELL
4928,ELL2
4929,ELMO1
4930,ELMO2
4931,ELMO3
4932,ELMOD1
4933,ELMOD2
4934,ELMOD3
4935,ELMSAN1
4936,ELN
4937,ELOF1
4938,ELOVL1
4939,ELOVL2
4940,ELOVL3
4941,ELOVL4
4942,ELOVL5
4943,ELOVL6
4944,ELOVL7
4945,ELP2
4946,ELP3
4947,ELP4
4948,ELP5
4949,ELP6
4950,ELSPBP1
4951,EMB
4952,EMC1
4953,EMC10
4954,EMC2
4955,EMC3
4956,EMC4
4957,EMC6
4958,EMC7
4959,EMC8
4960,EMC9
4961,EMD
4962,EME1
4963,EME2
4964,EMG1
4965,EMID1
4966,EMILIN1
4967,EMILIN2
4968,EMILIN3
4969,EML1
4970,EML2
4971,EML3
4972,EML4
4973,EML5
4974,EML6
4975,EMP1
4976,EMP2
4977,EMP3
4978,EMSY
4979,EMX1
4980,EMX2
4981,EMX2OS
4982,EN1
4983,EN2
4984,ENAH
4985,ENC1
4986,ENDOD1
4987,ENDOG
4988,ENDOV
4989,ENG
4990,ENGASE
4991,ENHO
4992,ENKD1
4993,ENKUR
4994,ENO1
4995,ENO1-AS1
4996,ENO2
4997,ENO3
4998,ENO4
4999,ENOPH1
5000,ENOSF1
5001,ENOX1
5002,ENOX2
5003,ENPEP
5004,ENPP1
5005,ENPP2
5006,ENPP3
5007,ENPP4
5008,ENPP5
5009,ENPP6
5010,ENSA
5011,ENTHD1
5012,ENTHD2
5013,ENTPD1
5014,ENTPD1-AS1
5015,ENTPD2
5016,ENTPD3
5017,ENTPD3-AS1
5018,ENTPD4
5019,ENTPD5
5020,ENTPD6
5021,ENTPD7
5022,ENTPD8
5023,ENY2
5024,EOGT
5025,EOMES
5026,EP300
5027,EP400
5028,EP400NL
5029,EPAS1
5030,EPB41
5031,EPB41L1
5032,EPB41L2
5033,EPB41L3
5034,EPB41L4A
5035,EPB41L4A-AS1
5036,EPB41L4A-AS2
5037,EPB41L4B
5038,EPB41L5
5039,EPB42
5040,EPC1
5041,EPC2
5042,EPCAM
5043,EPDR1
5044,EPG5
5045,EPGN
5046,EPHA1
5047,EPHA10
5048,EPHA1-AS1
5049,EPHA2
5050,EPHA3
5051,EPHA4
5052,EPHA5
5053,EPHA5-AS1
5054,EPHA7
5055,EPHB1
5056,EPHB2
5057,EPHB3
5058,EPHB4
5059,EPHB6
5060,EPHX1
5061,EPHX2
5062,EPHX3
5063,EPHX4
5064,EPM2A
5065,EPM2AIP1
5066,EPN1
5067,EPN2
5068,EPOR
5069,EPRS
5070,EPS15
5071,EPS15L1
5072,EPS8
5073,EPS8L1
5074,EPS8L2
5075,EPSTI1
5076,EPT1
5077,EPYC
5078,ERAL1
5079,ERAP1
5080,ERAP2
5081,ERBB2
5082,ERBB2IP
5083,ERBB3
5084,ERBB4
5085,ERC1
5086,ERC2
5087,ERCC1
5088,ERCC2
5089,ERCC3
5090,ERCC4
5091,ERCC5
5092,ERCC6
5093,ERCC6L
5094,ERCC6L2
5095,ERCC8
5096,EREG
5097,ERF
5098,ERG
5099,ERGIC1
5100,ERGIC2
5101,ERGIC3
5102,ERH
5103,ERI1
5104,ERI2
5105,ERI3
5106,ERICD
5107,ERICH1
5108,ERICH2
5109,ERICH3
5110,ERICH5
5111,ERICH6-AS1
5112,ERLEC1
5113,ERLIN1
5114,ERLIN2
5115,ERMAP
5116,ERMARD
5117,ERMN
5118,ERMP1
5119,ERN 1.00
5120,ERO1A
5121,ERO1B
5122,ERP27
5123,ERP29
5124,ERP44
5125,ERRFI1
5126,ERV3-1
5127,ERVK3-1
5128,ESAM
5129,ESCO1
5130,ESCO2
5131,ESD
5132,ESF1
5133,ESM1
5134,ESPL1
5135,ESPN
5136,ESPNL
5137,ESR2
5138,ESRP1
5139,ESRRA
5140,ESRRG
5141,ESYT1
5142,ESYT2
5143,ESYT3
5144,ETAA1
5145,ETF1
5146,ETFA
5147,ETFB
5148,ETFDH
5149,ETHE1
5150,ETNK1
5151,ETNK2
5152,ETS1
5153,ETS2
5154,ETV1
5155,ETV2
5156,ETV3
5157,ETV4
5158,ETV5
5159,ETV6
5160,ETV7
5161,EVA1A
5162,EVA1B
5163,EVA1C
5164,EVC
5165,EVC2
5166,EVI2A
5167,EVI5
5168,EVI5L
5169,EVL
5170,EVX1
5171,EVX2
5172,EWSR1
5173,EXD1
5174,EXD2
5175,EXD3
5176,EXO1
5177,EXO5
5178,EXOC1
5179,EXOC2
5180,EXOC3
5181,EXOC3-AS1
5182,EXOC3L4
5183,EXOC4
5184,EXOC5
5185,EXOC6
5186,EXOC6B
5187,EXOC7
5188,EXOC8
5189,EXOG
5190,EXOSC1
5191,EXOSC10
5192,EXOSC2
5193,EXOSC3
5194,EXOSC4
5195,EXOSC5
5196,EXOSC6
5197,EXOSC7
5198,EXOSC8
5199,EXOSC9
5200,EXPH5
5201,EXT1
5202,EXT2
5203,EXTL1
5204,EXTL2
5205,EXTL3
5206,EXTL3-AS1
5207,EYA1
5208,EYA2
5209,EYA3
5210,EYA4
5211,EYS
5212,EZH1
5213,EZH2
5214,EZR
5215,F10
5216,F11R
5217,F12
5218,F2R
5219,F2RL1
5220,F2RL2
5221,F3
5222,F8
5223,F8A1
5224,F8A3
5225,FA2H
5226,FAAH
5227,FAAH2
5228,FAAP100
5229,FAAP20
5230,FAAP24
5231,FABP3
5232,FABP4
5233,FABP5
5234,FABP6
5235,FABP7
5236,FADD
5237,FADS1
5238,FADS2
5239,FADS3
5240,FAF1
5241,FAF2
5242,FAH
5243,FAHD1
5244,FAHD2A
5245,FAHD2B
5246,FAIM
5247,FAIM2
5248,FALEC
5249,FAM101A
5250,FAM101B
5251,FAM102A
5252,FAM102B
5253,FAM103A1
5254,FAM104A
5255,FAM104B
5256,FAM105A
5257,FAM106A
5258,FAM107A
5259,FAM107B
5260,FAM109A
5261,FAM109B
5262,FAM110A
5263,FAM110B
5264,FAM110C
5265,FAM110D
5266,FAM111A
5267,FAM111B
5268,FAM114A1
5269,FAM114A2
5270,FAM117A
5271,FAM117B
5272,FAM118A
5273,FAM118B
5274,FAM120A
5275,FAM120AOS
5276,FAM120B
5277,FAM120C
5278,FAM122A
5279,FAM122B
5280,FAM122C
5281,FAM124A
5282,FAM126A
5283,FAM126B
5284,FAM127A
5285,FAM127B
5286,FAM127C
5287,FAM129A
5288,FAM129B
5289,FAM129C
5290,FAM131A
5291,FAM131B
5292,FAM131C
5293,FAM132A
5294,FAM132B
5295,FAM133A
5296,FAM133B
5297,FAM134A
5298,FAM134B
5299,FAM134C
5300,FAM135A
5301,FAM135B
5302,FAM136A
5303,FAM13A
5304,FAM13A-AS1
5305,FAM13B
5306,FAM13C
5307,FAM149A
5308,FAM149B1
5309,FAM150B
5310,FAM151B
5311,FAM155A
5312,FAM155B
5313,FAM157C
5314,FAM159A
5315,FAM159B
5316,FAM160A1
5317,FAM160A2
5318,FAM160B1
5319,FAM160B2
5320,FAM161A
5321,FAM161B
5322,FAM162A
5323,FAM162B
5324,FAM166A
5325,FAM167A
5326,FAM167B
5327,FAM168A
5328,FAM168B
5329,FAM169A
5330,FAM171A1
5331,FAM171A2
5332,FAM171B
5333,FAM172A
5334,FAM173A
5335,FAM173B
5336,FAM174A
5337,FAM174B
5338,FAM175A
5339,FAM175B
5340,FAM177A1
5341,FAM178B
5342,FAM179B
5343,FAM180B
5344,FAM181A
5345,FAM181A-AS1
5346,FAM181B
5347,FAM182B
5348,FAM183A
5349,FAM184A
5350,FAM184B
5351,FAM185A
5352,FAM188A
5353,FAM188B
5354,FAM189A1
5355,FAM189A2
5356,FAM189B
5357,FAM192A
5358,FAM193A
5359,FAM193B
5360,FAM195A
5361,FAM195B
5362,FAM196A
5363,FAM196B
5364,FAM198A
5365,FAM198B
5366,FAM199X
5367,FAM19A1
5368,FAM19A2
5369,FAM19A3
5370,FAM19A5
5371,FAM200A
5372,FAM200B
5373,FAM201A
5374,FAM204A
5375,FAM206A
5376,FAM207A
5377,FAM208A
5378,FAM208B
5379,FAM209B
5380,FAM20A
5381,FAM20B
5382,FAM20C
5383,FAM210A
5384,FAM210B
5385,FAM212A
5386,FAM212B
5387,FAM212B-AS1
5388,FAM213A
5389,FAM213B
5390,FAM214A
5391,FAM214B
5392,FAM215B
5393,FAM216A
5394,FAM217B
5395,FAM218A
5396,FAM219A
5397,FAM219B
5398,FAM21A
5399,FAM21C
5400,FAM220A
5401,FAM221A
5402,FAM222A
5403,FAM222B
5404,FAM225A
5405,FAM225B
5406,FAM227A
5407,FAM227B
5408,FAM228A
5409,FAM228B
5410,FAM229A
5411,FAM229B
5412,FAM230A
5413,FAM231D
5414,FAM234A
5415,FAM234B
5416,FAM24B
5417,FAM26E
5418,FAM26F
5419,FAM27C
5420,FAM32A
5421,FAM35A
5422,FAM3A
5423,FAM3B
5424,FAM3C
5425,FAM3D
5426,FAM41C
5427,FAM43A
5428,FAM43B
5429,FAM45A
5430,FAM46A
5431,FAM46B
5432,FAM46C
5433,FAM47E
5434,FAM49A
5435,FAM49B
5436,FAM50A
5437,FAM50B
5438,FAM53A
5439,FAM53B
5440,FAM53C
5441,FAM57A
5442,FAM57B
5443,FAM58A
5444,FAM60A
5445,FAM63A
5446,FAM63B
5447,FAM64A
5448,FAM65A
5449,FAM65B
5450,FAM65C
5451,FAM66C
5452,FAM69A
5453,FAM69B
5454,FAM69C
5455,FAM71A
5456,FAM71D
5457,FAM71E1
5458,FAM71F1
5459,FAM71F2
5460,FAM72A
5461,FAM72B
5462,FAM72C
5463,FAM72D
5464,FAM73A
5465,FAM73B
5466,FAM74A6
5467,FAM76A
5468,FAM76B
5469,FAM78A
5470,FAM78B
5471,FAM81A
5472,FAM81B
5473,FAM83D
5474,FAM83G
5475,FAM83H
5476,FAM84A
5477,FAM84B
5478,FAM85B
5479,FAM86B1
5480,FAM86B2
5481,FAM86C1
5482,FAM87B
5483,FAM89A
5484,FAM89B
5485,FAM8A1
5486,FAM91A1
5487,FAM92A1
5488,FAM92B
5489,FAM95B1
5490,FAM95C
5491,FAM96A
5492,FAM96B
5493,FAM98A
5494,FAM98B
5495,FAM98C
5496,FAN1
5497,FANCA
5498,FANCB
5499,FANCC
5500,FANCD2
5501,FANCE
5502,FANCF
5503,FANCG
5504,FANCI
5505,FANCL
5506,FANCM
5507,FANK1
5508,FAP
5509,FAR1
5510,FAR2
5511,FARP1
5512,FARP1-AS1
5513,FARP2
5514,FARS2
5515,FARSA
5516,FARSB
5517,FAS
5518,FASN
5519,FASTK
5520,FASTKD1
5521,FASTKD2
5522,FASTKD3
5523,FASTKD5
5524,FAT1
5525,FAT3
5526,FAT4
5527,FAU
5528,FAXC
5529,FAXDC2
5530,FBF1
5531,FBL
5532,FBLIM1
5533,FBLL1
5534,FBLN1
5535,FBLN2
5536,FBLN5
5537,FBLN7
5538,FBN1
5539,FBN2
5540,FBN3
5541,FBRS
5542,FBRSL1
5543,FBXL12
5544,FBXL13
5545,FBXL14
5546,FBXL15
5547,FBXL16
5548,FBXL17
5549,FBXL18
5550,FBXL19
5551,FBXL19-AS1
5552,FBXL2
5553,FBXL20
5554,FBXL22
5555,FBXL3
5556,FBXL4
5557,FBXL5
5558,FBXL6
5559,FBXL7
5560,FBXL8
5561,FBXO10
5562,FBXO11
5563,FBXO15
5564,FBXO16
5565,FBXO17
5566,FBXO18
5567,FBXO2
5568,FBXO21
5569,FBXO22
5570,FBXO24
5571,FBXO25
5572,FBXO27
5573,FBXO28
5574,FBXO3
5575,FBXO30
5576,FBXO31
5577,FBXO32
5578,FBXO33
5579,FBXO34
5580,FBXO36
5581,FBXO38
5582,FBXO39
5583,FBXO4
5584,FBXO41
5585,FBXO42
5586,FBXO43
5587,FBXO44
5588,FBXO45
5589,FBXO46
5590,FBXO48
5591,FBXO5
5592,FBXO6
5593,FBXO7
5594,FBXO8
5595,FBXO9
5596,FBXW11
5597,FBXW12
5598,FBXW2
5599,FBXW4
5600,FBXW5
5601,FBXW7
5602,FBXW8
5603,FBXW9
5604,FCER1G
5605,FCF1
5606,FCGBP
5607,FCGR2A
5608,FCGR2B
5609,FCGRT
5610,FCHO1
5611,FCHO2
5612,FCHSD1
5613,FCHSD2
5614,FCMR
5615,FCN3
5616,FCRLA
5617,FCRLB
5618,FDFT1
5619,FDPS
5620,FDX1
5621,FDX1L
5622,FDXACB1
5623,FDXR
5624,FECH
5625,FEM1A
5626,FEM1B
5627,FEM1C
5628,FEN1
5629,FENDRR
5630,FER
5631,FER1L5
5632,FERMT1
5633,FERMT2
5634,FERMT3
5635,FES
5636,FETUB
5637,FEV
5638,FEZ1
5639,FEZ2
5640,FEZF1
5641,FEZF1-AS1
5642,FGD1
5643,FGD3
5644,FGD4
5645,FGD5-AS1
5646,FGD6
5647,FGF1
5648,FGF10
5649,FGF11
5650,FGF12
5651,FGF13
5652,FGF13-AS1
5653,FGF14
5654,FGF14-AS2
5655,FGF18
5656,FGF19
5657,FGF2
5658,FGF20
5659,FGF22
5660,FGF23
5661,FGF5
5662,FGF7
5663,FGF8
5664,FGF9
5665,FGFBP1
5666,FGFBP2
5667,FGFBP3
5668,FGFR1
5669,FGFR1OP
5670,FGFR1OP2
5671,FGFR2
5672,FGFR3
5673,FGFR4
5674,FGFRL1
5675,FGGY
5676,FGL2
5677,FH
5678,FHAD1
5679,FHDC1
5680,FHIT
5681,FHL1
5682,FHL2
5683,FHL3
5684,FHOD1
5685,FHOD3
5686,FIBCD1
5687,FIBIN
5688,FIBP
5689,FICD
5690,FIG4
5691,FIGF
5692,FIGN
5693,FIGNL1
5694,FILIP1
5695,FILIP1L
5696,FIP1L1
5697,FIRRE
5698,FIS1
5699,FITM2
5700,FIZ1
5701,FJX1
5702,FKBP10
5703,FKBP11
5704,FKBP14
5705,FKBP15
5706,FKBP1A
5707,FKBP1B
5708,FKBP1C
5709,FKBP2
5710,FKBP3
5711,FKBP4
5712,FKBP5
5713,FKBP6
5714,FKBP7
5715,FKBP8
5716,FKBP9
5717,FKBPL
5718,FKRP
5719,FKTN
5720,FLAD1
5721,FLCN
5722,FLG
5723,FLG-AS1
5724,FLI1
5725,FLII
5726,FLJ12825
5727,FLJ16779
5728,FLJ20021
5729,FLJ21408
5730,FLJ22447
5731,FLJ27354
5732,FLJ31104
5733,FLJ35934
5734,FLJ37035
5735,FLJ37453
5736,FLJ37505
5737,FLJ46066
5738,FLNA
5739,FLNB
5740,FLNC
5741,FLOT1
5742,FLOT2
5743,FLRT1
5744,FLRT2
5745,FLRT3
5746,FLT1
5747,FLT3LG
5748,FLVCR1
5749,FLVCR1-AS1
5750,FLVCR2
5751,FLYWCH1
5752,FLYWCH2
5753,FMN1
5754,FMN2
5755,FMNL1
5756,FMNL2
5757,FMNL3
5758,FMO2
5759,FMO3
5760,FMO4
5761,FMO5
5762,FMOD
5763,FMR1
5764,FN1
5765,FN3K
5766,FN3KRP
5767,FNBP1
5768,FNBP1L
5769,FNBP4
5770,FNDC1
5771,FNDC3A
5772,FNDC3B
5773,FNDC4
5774,FNDC5
5775,FNIP1
5776,FNIP2
5777,FNTA
5778,FNTB
5779,FO538757.2
5780,FOCAD
5781,FOCAD-AS1
5782,FOLH1
5783,FOLR1
5784,FOLR3
5785,FOPNL
5786,FOS
5787,FOSB
5788,FOSL1
5789,FOSL2
5790,FOXA1
5791,FOXA2
5792,FOXA3
5793,FOXB1
5794,FOXC1
5795,FOXC2
5796,FOXC2-AS1
5797,FOXD1
5798,FOXD2
5799,FOXD2-AS1
5800,FOXD3
5801,FOXD3-AS1
5802,FOXD4
5803,FOXE1
5804,FOXF1
5805,FOXF2
5806,FOXG1
5807,FOXG1-AS1
5808,FOXI1
5809,FOXJ1
5810,FOXJ2
5811,FOXJ3
5812,FOXK1
5813,FOXK2
5814,FOXL1
5815,FOXL2
5816,FOXM1
5817,FOXN2
5818,FOXN3
5819,FOXN3-AS1
5820,FOXN4
5821,FOXO1
5822,FOXO3
5823,FOXO4
5824,FOXO6
5825,FOXP1
5826,FOXP2
5827,FOXP4
5828,FOXP4-AS1
5829,FOXR2
5830,FOXRED1
5831,FOXRED2
5832,FOXS1
5833,FP325317.1
5834,FPGS
5835,FPGT
5836,FPGT-TNNI3K
5837,FPR1
5838,FRA10AC1
5839,FRAS1
5840,FRAT1
5841,FRAT2
5842,FREM1
5843,FREM2
5844,FREM3
5845,FRG1
5846,FRG2
5847,FRGCA
5848,FRK
5849,FRMD3
5850,FRMD4A
5851,FRMD4B
5852,FRMD5
5853,FRMD6
5854,FRMD6-AS1
5855,FRMD8
5856,FRMPD1
5857,FRMPD3
5858,FRMPD4
5859,FRRS1L
5860,FRS2
5861,FRS3
5862,FRY
5863,FRY-AS1
5864,FRYL
5865,FRZB
5866,FSCN1
5867,FSCN2
5868,FSCN3
5869,FSD1
5870,FSD1L
5871,FSD2
5872,FSIP1
5873,FSIP2
5874,FST
5875,FSTL1
5876,FSTL3
5877,FSTL5
5878,FTCD
5879,FTCDNL1
5880,FTH1
5881,FTL
5882,FTO
5883,FTSJ1
5884,FTSJ2
5885,FTSJ3
5886,FTX
5887,FUBP1
5888,FUBP3
5889,FUCA1
5890,FUCA2
5891,FUK
5892,FUNDC1
5893,FUNDC2
5894,FUOM
5895,FURIN
5896,FUS
5897,FUT10
5898,FUT11
5899,FUT2
5900,FUT4
5901,FUT5
5902,FUT8
5903,FUT8-AS1
5904,FUT9
5905,FUZ
5906,FXN
5907,FXR1
5908,FXR2
5909,FXYD1
5910,FXYD2
5911,FXYD3
5912,FXYD5
5913,FXYD6
5914,FXYD6-FXYD2
5915,FXYD7
5916,FYCO1
5917,FYN
5918,FYTTD1
5919,FZD1
5920,FZD2
5921,FZD3
5922,FZD4
