gene_name,in_cluster,cluster
NKX2-1,NKX2-8,HD/22
NKX2-2,NKX3-2,HD/4
NKX6-3,NKX6-2,HD/2
NR5A1,NR5A2,NR/11
NR5A1,ESRRA,"NR/12,NR/7"
OSR1,OSR2,OSR2
PAX8,PAX2,"PAX-halfsite,PAX/1"
PBX4,ARX,"HD/2,HD/8"
PBX4,HOXA2,HD/2
PGR,NR3C2,NR/20
PGR,NR3C1,NR/20
PGR,AR,NR/20
PITX2,PITX1,HD/20
PITX2,POU3F1,"POU/1,POU/2"
PITX2,CRX,HD/20
PITX2,DMBX1,HD/20
PLAGL2,VEZF1,KLF/SP/2
PPARD,RXRB,"NR/1,NR/16"
PRDM14,NR2F1,"NR/1,NR/12,NR/13"
PRDM14,NR2F6,"NR/1,NR/13"
PROX2,PROX1,PROX1
RBAK,MAZ,GC-tract
RFX7,RFX5,"RFX/1,RFX/3"
RHOXF2,PITX3,HD/20
RHOXF2B,PITX3,HD/20
SIX5,ZNF143,ZNF143
SIX6,SIX2,SIX/1
SIX6,SIX1,SIX/1
SIX6,SIX3,SIX/2
SMAD5,SMAD3,SMAD
SNAI3,SNAI2,"Ebox/CACCTG,SNAI2"
SOHLH2,MYCN,Ebox/CACGTG/2
SOHLH2,BHLHE40,Ebox/CACGTG/1
SOHLH2,MNT,Ebox/CACGTG/1
SOX12,SOX14,"SOX/3,SOX/4,SOX/5"
SOX30,SOX9,"SOX/1,SOX/3,SOX/4,SOX/5,SOX/6,SOX/7,SOX/8"
SP9,KLF15,GC-tract
SP9,SP8,KLF/SP/1
TAL2,TAL1,"Ebox/CAGATGG,GATA"
TBX18,TBX2,"TBX/2,TBX/4"
TBX6,EOMES,"TBX/3,TBX/4"
TBX6,TBX15,TBX/4
TFAP2E,TFAP2A,"TFAP2/1,TFAP2/2"
TFAP2E,TFAP2C,"TFAP2/1,TFAP2/2"
TFCP2L1,TFCP2,"GRHL,TFCP2"
TFDP2,TFDP1,E2F/2
TFDP3,TFDP1,E2F/2
TGIF2LY,TGIF2LX,MIES
THAP11,ZNF143,ZNF143
THAP12,ZNF384,ZNF384/2
TLX2,POU6F2,HD/2
TLX2,SHOX,HD/2
TLX2,ARX,"HD/2,HD/8"
TLX3,TLX1,NFI/1
TLX3,WT1,KLF/SP/2
TLX3,MSX2,"HD/2,HD/5"
TPRX1,CRX,HD/20
UBP1,TFCP2,"GRHL,TFCP2"
YBX1,NEUROD1,Ebox/CAGATGG
YBX1,KLF15,GC-tract
YBX2,NEUROD1,Ebox/CAGATGG
YBX3,NEUROD1,Ebox/CAGATGG
ZBTB12,TFAP4,Ebox/CAGCTG
ZBTB12,CREB1,CREB/ATF/1
ZBTB12,HSF4,HSF
ZBTB12,HSF2,HSF
ZBTB14,TCFL5,Ebox/CACGTG/2
ZBTB14,ARNT,"AHR,Ebox/CACGTG/1,HIF"
ZBTB14,MAX,"Ebox/CACGTG/1,Ebox/CACGTG/2"
ZBTB14,E2F2,"E2F/1,E2F/4"
ZBTB17,VEZF1,KLF/SP/2
ZBTB2,ETV2,"ETS/1,ETS/2"
ZBTB2,FLI1,"ETS/1,ETS/2"
ZBTB20,FOXD3,"FOX/4,FOX/5,FOX/6"
ZBTB22,TBX21,"TBX/2,TBX/3,TBX/4"
ZBTB26,HSF1,HSF
ZBTB26,TCFL5,Ebox/CACGTG/2
ZBTB32,SOX7,"SOX/3,SOX/4,SOX/6"
ZBTB37,MAFG,MAF
ZBTB37,RUNX2,"RUNX/1,RUNX/2"
ZBTB42,ZBTB18,Ebox/CAGCTG
ZBTB43,MAFB,MAF
ZBTB43,PAX6,PAX/1
ZBTB44,ATF4,CREB/ATF/3
ZBTB45,MSC,Ebox/CAGCTG
ZBTB45,ATOH1,"Ebox/CAGATGG,Ebox/CATATG"
ZBTB48,CTCFL,CTCF
ZFHX2,MIXL1,HD/2
ZFHX3,HOXA2,HD/2
ZFP1,T,TBX/1
ZFP1,CEBPA,"CCAAT/CEBP,DDIT3+CEBPA"
ZFP1,TBP,TATA
ZFP14,ZNF263,GC-tract
ZFP14,KLF15,GC-tract
ZFP3,EGR1,"EGR,KLF/SP/2"
ZFP3,TCF3,"Ebox/CACCTG,Ebox/CAGATGG,HAND1"
ZFP64,NR2C2,"NR/1,NR/3"
ZFP69,ETV2,"ETS/1,ETS/2"
ZFP69B,NFATC2,NFAT/1
ZFP90,MIXL1,HD/2
ZHX1,NKX2-5,"HD/22,HD/4"
ZIC5,ZIC1,"ZIC,ZIC/2"
ZIK1,RARG,"NR/12,NR/13,NR/16,NR/17"
ZIM2,KLF15,GC-tract
ZKSCAN1,NR1D1,NR/19
ZKSCAN1,ZIC3,ZIC
ZKSCAN2,FOXK1,"FOX/4,FOX/8"
ZKSCAN5,SPIB,SPI
ZKSCAN7,AR,NR/20
ZNF10,MAZ,GC-tract
ZNF100,SP2,KLF/SP/2
ZNF101,SNAI1,Ebox/CACCTG
ZNF114,TBP,TATA
ZNF12,FOXI1,"FOX/3,FOX/5,NFY"
ZNF12,LHX8,HD/2
ZNF12,RFX1,RFX/1
ZNF121,PAX5,"PAX/1,PAX/2"
ZNF124,ETS2,ETS/2
ZNF132,VEZF1,KLF/SP/2
ZNF133,OLIG2,"Ebox/CAGATGG,Ebox/CATATG"
ZNF134,ASCL1,Ebox/CAGCTG
ZNF134,MAF,"AP1/2,MAF"
ZNF135,NR2C2,"NR/1,NR/3"
ZNF135,RARG,"NR/12,NR/13,NR/16,NR/17"
ZNF136,IRF3,"IRF/1,IRF/2"
ZNF136,ESRRB,NR/7
ZNF136,POU4F2,POU/2
ZNF140,SPIB,SPI
ZNF140,PHOX2B,HD/8
ZNF140,MAFB,MAF
ZNF141,WT1,KLF/SP/2
ZNF146,POU4F3,POU/2
ZNF146,HOXC9,HD/14
ZNF154,STAT3,STAT/2
ZNF157,CDX2,HD/18
ZNF16,ZNF282,ZNF282
ZNF16,SNAI2,"Ebox/CACCTG,SNAI2"
ZNF169,POU6F1,HD/2
ZNF17,CLOCK,"Ebox/CACGTG/1,Ebox/CACGTG/2"
ZNF174,USF1,Ebox/CACGTG/1
ZNF174,USF2,Ebox/CACGTG/1
ZNF175,FOXP1,FOX/4
ZNF177,JUND,"AP1/1,CREB/ATF/1,CREB/ATF/2"
ZNF177,BACH2,AP1/2
ZNF180,SP2,KLF/SP/2
ZNF181,LYL1,Ebox/CAGATGG
ZNF182,CTCF,CTCF
ZNF184,PHOX2B,HD/8
ZNF184,ZNF263,GC-tract
ZNF189,SPI1,SPI
ZNF189,NFATC2,NFAT/1
ZNF189,KLF15,GC-tract
ZNF19,MAF,"AP1/2,MAF"
ZNF197,NR2F2,NR/12
ZNF2,CTCF,CTCF
ZNF200,PAX6,PAX/1
ZNF200,ELK4,"ETS/1,ETS/2"
ZNF200,ELF3,"ETS/1,ETS/2"
ZNF200,GABPA,ETS/1
ZNF202,SP2,KLF/SP/2
ZNF211,ZNF8,ZNF85
ZNF212,IRF3,"IRF/1,IRF/2"
ZNF213,SP1,"KLF/SP/1,KLF/SP/2"
ZNF214,MEOX2,"HD/11,HD/2"
ZNF214,ZNF384,ZNF384/2
ZNF22,ZNF384,ZNF384/2
ZNF222,MAFF,MAF
ZNF223,CTCF,CTCF
ZNF224,NR1D1,NR/19
ZNF224,TFAP2A,"TFAP2/1,TFAP2/2"
ZNF225,ZFP28,ZNF28
ZNF23,SP1,"KLF/SP/1,KLF/SP/2"
ZNF235,PRDM6,NFAC/2
ZNF248,ALX1,"HD/2,HD/8"
ZNF25,ZFP82,ZNF354
ZNF250,SP8,KLF/SP/1
ZNF250,ZFX,ZFX
ZNF250,FEZF1,FEZF1
ZNF250,ZIC3,ZIC
ZNF250,FOXO1,"FOX/2,FOX/4,FOX/5,FOX/7"
ZNF257,CEBPG,"CCAAT/CEBP,CREB/ATF/3"
ZNF257,CEBPA,"CCAAT/CEBP,DDIT3+CEBPA"
ZNF26,ATF4,CREB/ATF/3
ZNF260,ZNF263,GC-tract
ZNF260,CDX2,HD/18
ZNF264,CRX,HD/20
ZNF264,PITX1,HD/20
ZNF264,NR2F6,"NR/1,NR/13"
ZNF264,NKX6-1,HD/2
ZNF266,FOS,"AP1/1,CREB/ATF/1"
ZNF267,TFAP2B,"TFAP2/1,TFAP2/2"
ZNF273,ASCL2,Ebox/CAGCTG
ZNF273,ZNF263,GC-tract
ZNF274,BACH2,AP1/2
ZNF274,JUND,"AP1/1,CREB/ATF/1,CREB/ATF/2"
ZNF274,ZNF18,TBX/4
ZNF274,SMAD3,SMAD
ZNF274,NFATC1,"NFAT/2,NFAT/3,NFAT/4"
ZNF276,ELF3,"ETS/1,ETS/2"
ZNF276,ESR1,NR/17
ZNF28,KLF9,KLF/SP/1
ZNF280A,ZNF18,TBX/4
ZNF281,SP1,"KLF/SP/1,KLF/SP/2"
ZNF281,MAZ,GC-tract
ZNF281,WT1,KLF/SP/2
ZNF283,SP1,"KLF/SP/1,KLF/SP/2"
ZNF284,LHX8,HD/2
ZNF285,VSX2,HD/2
ZNF287,PRDM6,NFAC/2
ZNF296,CTCF,CTCF
ZNF296,ZBTB7B,GLI
ZNF3,ZNF24,ZNF24
ZNF30,MAZ,GC-tract
ZNF30,PAX5,"PAX/1,PAX/2"
ZNF300,PAX4,HD/2
ZNF302,PBX3,"HD/12,NFY"
ZNF304,KLF3,KLF/SP/2
ZNF311,ASCL1,Ebox/CAGCTG
ZNF317,TFAP4,Ebox/CAGCTG
ZNF317,SOX9,"SOX/1,SOX/3,SOX/4,SOX/5,SOX/6,SOX/7,SOX/8"
ZNF317,PTF1A,Ebox/CAGATGG
ZNF317,MAF,"AP1/2,MAF"
ZNF32,SIX1,SIX/1
ZNF320,PRDM9,PRDM9
ZNF322,NR1D1,NR/19
ZNF322,SP2,KLF/SP/2
ZNF324,FLI1,"ETS/1,ETS/2"
ZNF324,NANOG,OCT4+SOX2
ZNF324,VEZF1,KLF/SP/2
ZNF324B,YY1,YY1
ZNF329,TFCP2,"GRHL,TFCP2"
ZNF329,ZEB1,"Ebox/CACCTG,SNAI2"
ZNF331,NHLH1,Ebox/CAGCTG
ZNF333,ZNF354C,ZNF53
ZNF334,LMX1B,HD/2
ZNF335,KLF15,GC-tract
ZNF337,HOXC12,"HD/17,HD/18"
ZNF33A,MAX,"Ebox/CACGTG/1,Ebox/CACGTG/2"
ZNF33A,PAX6,PAX/1
ZNF33B,GSX1,HD/2
ZNF34,NR2F1,"NR/1,NR/12,NR/13"
ZNF341,PATZ1,KLF/SP/2
ZNF341,MAZ,GC-tract
ZNF343,ETS2,ETS/2
ZNF343,PAX6,PAX/1
ZNF343,SPI1,SPI
ZNF345,ZBTB18,Ebox/CAGCTG
ZNF35,POU6F2,HD/2
ZNF35,PRDM6,NFAC/2
ZNF350,HOXD11,"HD/17,HD/18"
ZNF354A,ISX,HD/2
ZNF354A,BARHL2,HD/6
ZNF354A,POU2F1,"POU/1,POU/3"
ZNF354B,POU6F2,HD/2
ZNF37A,VEZF1,KLF/SP/2
ZNF382,PAX4,HD/2
ZNF382,LEF1,"LEF1,TCF/LEF"
ZNF382,NR3C1,NR/20
ZNF383,VEZF1,KLF/SP/2
ZNF394,KLF15,GC-tract
ZNF394,PRDM6,NFAC/2
ZNF396,HOXC9,HD/14
ZNF398,MAZ,GC-tract
ZNF415,VENTX,"HD/2,HD/3"
ZNF415,ZBTB6,ZBTB6
ZNF416,DUXA,HD/8
ZNF417,E2F1,"E2F/1,E2F/2"
ZNF418,POU2F1,"POU/1,POU/3"
ZNF418,ZFP82,ZNF354
ZNF419,SP1,"KLF/SP/1,KLF/SP/2"
ZNF419,PATZ1,KLF/SP/2
ZNF425,KLF1,"KLF/SP/1,KLF/SP/2"
ZNF429,KLF6,KLF/SP/2
ZNF430,RFX1,RFX/1
ZNF431,ZFP82,ZNF354
ZNF432,MAZ,GC-tract
ZNF433,ALX1,"HD/2,HD/8"
ZNF436,ELF1,ETS/1
ZNF436,ETS2,ETS/2
ZNF439,CTCF,CTCF
ZNF44,THAP1,"GC-tract,THAP1"
ZNF440,PAX5,"PAX/1,PAX/2"
ZNF441,SP1,"KLF/SP/1,KLF/SP/2"
ZNF442,MYOD1,Ebox/CAGCTG
ZNF443,ASCL1,Ebox/CAGCTG
ZNF444,WT1,KLF/SP/2
ZNF449,HES7,Ebox/CACGTG/1
ZNF449,KLF1,"KLF/SP/1,KLF/SP/2"
ZNF449,WT1,KLF/SP/2
ZNF449,SP2,KLF/SP/2
ZNF45,ZBTB6,ZBTB6
ZNF45,TWIST1,Ebox/CAGCTG
ZNF45,SPIB,SPI
ZNF454,NRF1,NRF1
ZNF454,E2F1,"E2F/1,E2F/2"
ZNF454,ZBTB6,ZBTB6
ZNF454,TFAP2A,"TFAP2/1,TFAP2/2"
ZNF460,KLF15,GC-tract
ZNF460,SP1,"KLF/SP/1,KLF/SP/2"
ZNF467,MAZ,GC-tract
ZNF467,WT1,KLF/SP/2
ZNF468,MAZ,GC-tract
ZNF479,TFAP2B,"TFAP2/1,TFAP2/2"
ZNF480,VEZF1,KLF/SP/2
ZNF483,MYOD1,Ebox/CAGCTG
ZNF484,VEZF1,KLF/SP/2
ZNF485,SPIB,SPI
ZNF486,FLI1,"ETS/1,ETS/2"
ZNF490,OLIG2,"Ebox/CAGATGG,Ebox/CATATG"
ZNF492,PRDM6,NFAC/2
ZNF496,SREBF2,"Ebox/CACGTG/1,SREBF1"
ZNF501,ARNT,"AHR,Ebox/CACGTG/1,HIF"
ZNF501,CLOCK,"Ebox/CACGTG/1,Ebox/CACGTG/2"
ZNF502,WT1,KLF/SP/2
ZNF502,POU2F1,"POU/1,POU/3"
ZNF506,ZBTB7A,"ETS/1,GLI"
ZNF513,ZNF263,GC-tract
ZNF519,EGR1,"EGR,KLF/SP/2"
ZNF519,GABPA,ETS/1
ZNF525,HESX1,HD/2
ZNF527,PATZ1,KLF/SP/2
ZNF528,EHF,"ETS/1,ETS/2"
ZNF528,ETS2,ETS/2
ZNF528,ELF5,"ETS/1,ETS/2"
ZNF529,VEZF1,KLF/SP/2
ZNF530,KLF6,KLF/SP/2
ZNF534,SP2,KLF/SP/2
ZNF540,EGR4,EGR
ZNF543,SP1,"KLF/SP/1,KLF/SP/2"
ZNF543,PAX5,"PAX/1,PAX/2"
ZNF547,POU3F4,"POU/1,POU/2"
ZNF547,MAFK,"AP1/2,MAF"
ZNF548,THAP1,"GC-tract,THAP1"
ZNF549,HESX1,HD/2
ZNF549,GSX1,HD/2
ZNF550,ESRRA,"NR/12,NR/7"
ZNF552,MAX,"Ebox/CACGTG/1,Ebox/CACGTG/2"
ZNF554,USF2,Ebox/CACGTG/1
ZNF554,YY1,YY1
ZNF555,PTF1A,Ebox/CAGATGG
ZNF557,ZNF76,ZNF143
ZNF558,POU2F1,"POU/1,POU/3"
ZNF561,ZIM3,ZIM3
ZNF562,PAX3,CUX/1
ZNF563,MYOD1,Ebox/CAGCTG
ZNF563,PTF1A,Ebox/CAGATGG
ZNF564,NR6A1,NR/11
ZNF565,EHF,"ETS/1,ETS/2"
ZNF566,E2F6,E2F/2
ZNF567,FOXK1,"FOX/4,FOX/8"
ZNF570,PRDM6,NFAC/2
ZNF571,SP2,KLF/SP/2
ZNF573,NR3C1,NR/20
ZNF574,SP2,KLF/SP/2
ZNF580,EGR2,"EGR,KLF/SP/2"
ZNF580,MAZ,GC-tract
ZNF580,SP1,"KLF/SP/1,KLF/SP/2"
ZNF580,POU5F1,"OCT4+SOX2,POU/1"
ZNF582,TP73,P53-like/1
ZNF582,TFAP2C,"TFAP2/1,TFAP2/2"
ZNF582,POU2F1,"POU/1,POU/3"
ZNF584,PHOX2B,HD/8
ZNF585A,TWIST1,Ebox/CAGCTG
ZNF586,TFAP2B,"TFAP2/1,TFAP2/2"
ZNF586,PRDM9,PRDM9
ZNF587,E2F1,"E2F/1,E2F/2"
ZNF594,E2F1,"E2F/1,E2F/2"
ZNF595,NR2F1,"NR/1,NR/12,NR/13"
ZNF596,WT1,KLF/SP/2
ZNF597,YY1,YY1
ZNF605,ZNF41,ZNF41
ZNF610,KLF12,"KLF/SP/1,KLF/SP/2"
ZNF611,TFAP2C,"TFAP2/1,TFAP2/2"
ZNF613,ZNF384,ZNF384/2
ZNF614,ATF4,CREB/ATF/3
ZNF615,MYF6,Ebox/CAGCTG
ZNF616,VEZF1,KLF/SP/2
ZNF619,ZNF740,ZIC/2
ZNF620,HNF1A,HD/10
ZNF621,TFAP2A,"TFAP2/1,TFAP2/2"
ZNF626,CTCFL,CTCF
ZNF627,KLF12,"KLF/SP/1,KLF/SP/2"
ZNF641,ZNF740,ZIC/2
ZNF649,WT1,KLF/SP/2
ZNF653,HOXD11,"HD/17,HD/18"
ZNF655,SIX2,SIX/1
ZNF655,HOXA2,HD/2
ZNF660,SALL4,KLF/SP/2
ZNF662,VEZF1,KLF/SP/2
ZNF667,WT1,KLF/SP/2
ZNF667,POU6F2,HD/2
ZNF667,RXRA,"NR/1,NR/11,NR/12,NR/15,NR/16,NR/18,NR/3,NR/4"
ZNF669,NR2F6,"NR/1,NR/13"
ZNF669,BATF3,"BATF,CREB/ATF/2"
ZNF669,WT1,KLF/SP/2
ZNF671,HMX1,HD/4
ZNF674,ZNF263,GC-tract
ZNF675,PRDM9,PRDM9
ZNF675,OTX1,"HD/19,HD/20"
ZNF677,AR,NR/20
ZNF680,FLI1,"ETS/1,ETS/2"
ZNF680,ZNF384,ZNF384/2
ZNF680,ELF2,"ETS/1,ETS/2"
ZNF681,ZNF263,GC-tract
ZNF682,KLF3,KLF/SP/2
ZNF682,SP1,"KLF/SP/1,KLF/SP/2"
ZNF684,HNF4A,NR/1
ZNF684,KLF13,KLF/SP/1
ZNF69,TFAP4,Ebox/CAGCTG
ZNF692,KLF1,"KLF/SP/1,KLF/SP/2"
ZNF692,SP2,KLF/SP/2
ZNF695,SPI1,SPI
ZNF7,TCF3,"Ebox/CACCTG,Ebox/CAGATGG,HAND1"
ZNF701,ZNF263,GC-tract
ZNF707,SP2,KLF/SP/2
ZNF708,NHLH1,Ebox/CAGCTG
ZNF708,WT1,KLF/SP/2
ZNF708,VAX2,HD/2
ZNF71,STAT2,IRF/2
ZNF71,MAZ,GC-tract
ZNF711,ZFX,ZFX
ZNF714,ZNF263,GC-tract
ZNF716,NFATC3,NFAT/2
ZNF730,ETV5,"ETS/1,ETS/2"
ZNF736,NR2C2,"NR/1,NR/3"
ZNF737,FOXP1,FOX/4
ZNF74,SOX5,SOX/2
ZNF749,GLIS2,GLIS
ZNF75D,ZNF75A,RBPJ
ZNF764,TCF3,"Ebox/CACCTG,Ebox/CAGATGG,HAND1"
ZNF765,KLF6,KLF/SP/2
ZNF766,HOXD13,"HD/17,HD/18"
ZNF768,NR2E1,NR/14
ZNF768,VDR,NR/15
ZNF770,ZFX,ZFX
ZNF770,MAZ,GC-tract
ZNF771,NR4A1,"NR/12,NR/3"
ZNF771,SOX21,"SOX/3,SOX/4,SOX/5,SOX/6"
ZNF771,NR2F1,"NR/1,NR/12,NR/13"
ZNF774,MAZ,GC-tract
ZNF776,PTF1A,Ebox/CAGATGG
ZNF777,KLF1,"KLF/SP/1,KLF/SP/2"
ZNF777,XBP1,"CREB/ATF/2,CREB3/XBP1"
ZNF778,CTCF,CTCF
ZNF778,MAF,"AP1/2,MAF"
ZNF780A,SP2,KLF/SP/2
ZNF782,PAX4,HD/2
ZNF785,EGR2,"EGR,KLF/SP/2"
ZNF786,ZBTB18,Ebox/CAGCTG
ZNF787,WT1,KLF/SP/2
ZNF787,NFE2,"AP1/1,AP1/2"
ZNF787,BACH2,AP1/2
ZNF789,TGIF1,MIES
ZNF79,POU3F2,"POU/1,POU/2"
ZNF791,RXRA,"NR/1,NR/11,NR/12,NR/15,NR/16,NR/18,NR/3,NR/4"
ZNF792,SP1,"KLF/SP/1,KLF/SP/2"
ZNF793,GLIS2,GLIS
ZNF799,MYOD1,Ebox/CAGCTG
ZNF805,RREB1,KLF/SP/2
ZNF808,ISL1,HD/2
ZNF81,GRHL2,GRHL
ZNF816,VEZF1,KLF/SP/2
ZNF816,MZF1,"MFZ1,MZF1,REL-halfsite"
ZNF821,NEUROD1,Ebox/CAGATGG
ZNF821,NEUROD2,Ebox/CATATG
ZNF823,WT1,KLF/SP/2
ZNF84,VEZF1,KLF/SP/2
ZNF846,E2F7,"E2F/2,E2F/3"
ZNF860,ZNF263,GC-tract
ZNF879,PAX4,HD/2
ZNF880,VEZF1,KLF/SP/2
ZNF891,PHOX2B,HD/8
ZNF90,JUND,"AP1/1,CREB/ATF/1,CREB/ATF/2"
ZNF93,OLIG2,"Ebox/CAGATGG,Ebox/CATATG"
ZNF98,IRF3,"IRF/1,IRF/2"
ZSCAN1,ZSCAN4,ZSCAN4
ZSCAN16,TBX15,TBX/4
ZSCAN16,FOXO3,"FOX/2,FOX/5,FOX/7"
ZSCAN16,FOXP1,FOX/4
ZSCAN16,FOXO4,"FOX/2,FOX/5,FOX/7"
ZSCAN16,VENTX,"HD/2,HD/3"
ZSCAN22,WT1,KLF/SP/2
ZSCAN23,HOXD3,HD/2
ZSCAN29,ALX1,"HD/2,HD/8"
ZSCAN29,EGR3,EGR
ZSCAN29,EGR2,"EGR,KLF/SP/2"
ZSCAN30,TFAP2C,"TFAP2/1,TFAP2/2"
ZSCAN31,NKX2-5,"HD/22,HD/4"
ZSCAN31,DLX5,HD/2
ZSCAN31,HMX1,HD/4
ZSCAN31,SP1,"KLF/SP/1,KLF/SP/2"
ZSCAN9,MECOM,EVI1/MECOM
ZZZ3,PAX7,CUX/1
